threshold,hacked_cells,evaluable,prevented,mitigation_rate
1.0,72,71,37,0.5211267605633803
1.5,43,42,26,0.6190476190476191
2.0,38,37,24,0.6486486486486487
2.5,26,26,21,0.8076923076923077
3.0,26,26,21,0.8076923076923077
3.5,15,15,15,1.0
4.0,15,15,15,1.0
4.5,12,12,12,1.0
5.0,12,12,12,1.0
5.5,10,10,10,1.0
6.0,10,10,10,1.0
6.5,8,8,8,1.0
7.0,7,7,7,1.0
7.5,7,7,7,1.0
8.0,7,7,7,1.0
8.5,6,6,6,1.0
9.0,5,5,5,1.0
9.5,5,5,5,1.0
10.0,5,5,5,1.0
