provider,models,hacked_cells,evaluable,prevented,mitigation_rate
Anthropic,6,10,10,6,0.6
Google,4,3,1,1,1.0
OpenAI,4,10,9,6,0.6666666666666666
xAI,4,4,3,2,0.6666666666666666
ALL (baseline),18,27,27,21,0.7777777777777778
