threshold,hacked_cells,evaluable,prevented,mitigation_rate
1.0,71,70,35,0.5
1.5,38,37,24,0.6486486486486487
2.0,38,37,24,0.6486486486486487
2.5,27,27,21,0.7777777777777778
3.0,27,27,21,0.7777777777777778
3.5,14,14,14,1.0
4.0,14,14,14,1.0
4.5,11,11,11,1.0
5.0,11,11,11,1.0
5.5,9,9,9,1.0
6.0,9,9,9,1.0
6.5,6,6,6,1.0
7.0,6,6,6,1.0
7.5,6,6,6,1.0
8.0,6,6,6,1.0
8.5,5,5,5,1.0
9.0,5,5,5,1.0
9.5,5,5,5,1.0
10.0,5,5,5,1.0
